,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
297,298,NCT03830762,Safety|Peripheral Neuropathy|Cortisol|Central Nervous System|Cognitive Function|Healthy Ageing|Small Fibre Neuropathy|Cerebrospinal Fluid|Electrocardiography,Xanamem™ in Healthy Elderly Subjects,Drug,Australia,"January 21, 2019","January 7, 2020",Australia
298,299,NCT04334122,Lumbar Disc Herniation|Instrument-assisted Soft Tissue Mobilization,The Efficacy Of Instrument-Assisted Soft Tissue Mobilization At Lumbar Region Disc Herniations,Other,Turkey,"April 16, 2020","June 20, 2020",Turkey
299,300,NCT03935503,Inguinal Hernia,COMPARISON OF LAPAROSCOPIC TOTAL EXTRAPERITONEAL HERNIA REPAIR AND LICHTENSTEIN HERNIA REPAIR,Procedure,Turkey,"July 1, 2017","April 1, 2019",Turkey
300,301,NCT01626482,Low Back Pain,Effect of Kinesio Tape in Muscle Fatigue Measured by Biering-Sorensen Test,Other,Spain,September 2011,May 2012,Spain
301,302,NCT00565604,Venous Insufficiency,Safety and Efficacy of Endovenous Laser Ablation for the Resolution of Incompetent Perforator Veins,Device,United States,October 2007,June 2009,United States
302,303,NCT02572713,Parkinson's Disease,Systemic Synuclein Sampling Study (S4),Procedure,United States|United States|United States|United States|United States|Canada,October 2015,"August 1, 2017",United States
303,304,NCT03856814,Varicose Veins,Market Penetration of Laser Therapy in Venous Surgery: Ziekenhuis Oost-Limburg - Ziekenhuis Maas en Kempen Center Experience,Device,Belgium,"March 15, 2019","November 30, 2023",Belgium
304,305,NCT02733497,Hyperhidrosis,Cardiac Autonomic Changes After Endoscopic Thoracic Sympathectomy For Essential Palmar Hyperhidrosis,Procedure,,January 2012,October 2014,
305,306,NCT01682746,"Brain Tumor, Recurrent",Photodynamic Therapy (PDT) for Recurrent Pediatric Brain Tumors,Drug,United States,March 2013,"June 29, 2018",United States
306,307,NCT00419679,Breast Neoplasms,Use of Hair to Diagnose Breast Cancer,Procedure,Australia,December 2006,,Australia
307,308,NCT03858179,Muscle Strength,Effects of Photobiomodulation Therapy in Strength Training and Detraining in Humans,Device,Brazil,"March 25, 2019","July 5, 2020",Brazil
308,309,NCT04954716,Cervicogenic Headache,Manual Techniques in Cervicogenic Headache,Other,Pakistan,"January 10, 2021","August 10, 2021",Pakistan
309,310,NCT02352649,Peripheral Nerve Injury,Safety and Efficacy Study of Neovasculgen (Pl-VEGF165) Gene Therapy in Patients With Peripheral Nerve Injury,Drug,,April 2015,September 2017,
310,311,NCT01350830,Direct Inguinal Hernia|Indirect Inguinal Hernia,Preperitoneal Versus Pre-trasversalis Hernia Repair,Procedure,Italy,November 2007,January 2011,Italy
311,312,NCT02055248,Brain Disorders|Birth Defects|Craniofacial Differences,Study on Moebius Syndrome and Congenital Facial Weakness Disorders,,United States,"May 20, 2014","April 29, 2020",United States
312,313,NCT03081091,Chronic Widespread Pain,Effects of Acupuncture on Pain and Quality of Life of People Affected With Chronic Widespread Pain.,Device,Spain,January 2017,"May 31, 2017",Spain
313,314,NCT03160053,Keloid,Improving Keloids Using Targeted Ultraviolet-B Irradiation,Device,,"June 23, 2015","June 15, 2018",
314,315,NCT02732145,Lichen Sclerosus|Lichen Planus|Lichen Simplex Chronicus|Vulvodynia,"Diagnostic Accuracy of ""Three Rings Vulvoscopy"" for Detection of Vulvar Dermatosis",Diagnostic Test,Croatia,December 2011,December 2016,Croatia
315,316,NCT04436445,Chronic Pelvic Pain,Effect of Neurogenic Acupoint CUPPING ON WOMEN WITH CHRONIC PELVIC PAIN,Combination Product,Egypt,"July 15, 2018","September 1, 2020",Egypt
316,317,NCT01405300,Cardiovascular Disease,The Effects of Peanuts and Peanut Products on Glucose Control and Vascular Function,Dietary Supplement,United States,August 2011,June 2014,United States
317,318,NCT03328871,Treatments of Striae Gravidarum,The Combination Therapy of Fractional Laser and PRP Compared With Nanofat Grafting and PRP Synergy in Treating Striae Gravidarum.,Device,China,"April 1, 2017","November 1, 2018",China
318,319,NCT04883723,Intramuscular Injection,Effect of Manual Pressure and Shotblocker on Pain and Injection Satisfaction in Intramuscular Injection Application,Device,Turkey,"April 22, 2019","August 23, 2019",Turkey
319,320,NCT03114345,Pressure Ulcer|Bedsore|Spinal Cord Injury|Paraplegia,Correlation Between Pressure Differences and Micro-vascularization Changes in Bedridden Paraplegic Patient,Other,France,"November 22, 2017","March 5, 2018",France
320,321,NCT05015842,Low Back Pain,Effectiveness of Kinesio Tapping for the Treatment of Patients With Acute Low Back Pain: A Randomized Control Trial,Other,Pakistan,"January 2, 2019","June 3, 2019",Pakistan
321,322,NCT04713033,Dysphonia,Computational Cranial and Cervical Muscle Network in Normal and Disordered Voice,Diagnostic Test,United States,"March 15, 2021",December 2022,United States
322,323,NCT03920449,Chronic Anal Fissure,Postero-lateral Internal Sphincterotomy vs Botulinum Toxin Injection in the Treatment of Chronic Anal Fissure,Drug,Egypt,"May 1, 2019","January 1, 2021",Egypt
323,324,NCT04716192,Cervical Spine Disease,Positional Release Technique in Patients With Unilateral Subacute Trapezitis,Other,Pakistan,"January 25, 2021","July 25, 2021",Pakistan
324,325,NCT01733407,Hereditary Sensory and Autonomic Neuropathy Type I,L-Serine Supplementation in Hereditary Sensory Neuropathy Type 1,Drug,United States|United States,September 2013,July 2017,United States
325,326,NCT03398538,Diabetic Foot Ulcer|Ulcer Foot|Diabetic Foot,Resorbable Glass Fiber Matrix in the Treatment of Diabetic Foot Ulcers,Other,United States|United States|United States|United States|United States,"January 2, 2018",June 2020,United States
326,327,NCT04815668,Seasonal Allergic Rhinitis,Acupuncture at the Sphenopalatine Ganglion in the Treatment of Moderate-to-severe Seasonal Allergic Rhinitis,Other,China,"May 1, 2021","August 31, 2023",China
327,328,NCT03178604,Hamstring Contractures,Classic and Sham Massage on Psychological and Physical Functional Variables in Athletes,Other,Spain,"June 1, 2017","August 2, 2017",Spain
328,329,NCT04561726,Healthy,The Effects of Connective Tissue Manipulation on Balance and Proprioception,Other,Turkey,"April 2, 2018","August 31, 2018",Turkey
329,330,NCT00884065,Shoulder Pain,Effectiveness of Diacutaneous Fibrolysis in Painful Shoulder,Other,Spain,June 2007,January 2008,Spain
330,331,NCT03619928,Delayed Onset Muscle Soreness,Comparison of Dry Needle and Massotherapy on Tolerance Effort and Soreness,Device,Brazil,"July 27, 2018","October 1, 2018",Brazil
331,332,NCT00390377,Breast Cancer,Use of Hair to Diagnose Breast Cancer,Procedure,Australia,October 2006,,Australia
332,333,NCT00003787,Breast Cancer,Women's Healthy Eating and Living Study,Behavioral,United States|United States|United States|United States|United States|United States|United States,March 1995,"December 31, 2018",United States
333,334,NCT03618966,Amyotrophic Lateral Sclerosis,Neuromuscular Magnetic Stimulation in ALS Patients,Device,,"November 1, 2014","November 1, 2017",
334,335,NCT04078516,"Neuropathy, Diabetic|Neuropathy, Painful",Methods of Early Detection and Grading Of Diabetic Peripheral Neuropathy (MEDON),Diagnostic Test,Denmark,"August 12, 2019","December 31, 2021",Denmark
335,336,NCT00380770,HIV|AIDS|Kaposi's Sarcoma|Human Herpesvirus 8,HIV/AIDS Kaposis Sarcoma: Comparison of Response to HAART vs HAART Plus CXT,Drug,South Africa,January 2003,March 2009,South Africa
336,337,NCT02515513,Pancreas Cancer,The Role of Muscle Cachexia in Pancreatic Cancer,Procedure,United States,March 2016,December 2025,United States
337,338,NCT04600830,Myofascial Pain Syndromes|Dry Needling,Evaluation of the Effectiveness of Dry Needling Versus Foam Roller,Procedure,Spain,"May 1, 2020","May 10, 2021",Spain
338,339,NCT03369548,Healthy,CABALA Diet & Health Study,Other,United Kingdom,"December 4, 2017","December 23, 2019",United Kingdom
339,340,NCT04776187,Nephrogenic Fibrosing Dermopathy,Safety Evaluation of Linear and Macrocyclic Gadolinium Based Contrast Agents for Patients With Mild to Moderate Renal Insufficiency Undergoing Enhanced Magnetic Resonance Imaging,Drug,China,"March 1, 2021","December 31, 2021",China
340,341,NCT04146987,Rotator Cuff Injuries|Shoulder Pain|Shoulder Impingement|Shoulder Injuries|Shoulder Bursitis|Shoulder Tendinitis|Shoulder Lesions,Cost-Effectiveness of Rotator Cuff Repair Methods,Procedure,Brazil|Brazil,"August 1, 2020","December 1, 2022",Brazil
341,342,NCT03249454,Incomplete Spinal Cord Injury,Effects of Transcutaneous Spinal Direct Current Stimulation in Incomplete Spinal Cord Injury,Device,United States,"August 11, 2017","October 26, 2018",United States
342,343,NCT02288858,Hair Thinning,To Evaluate the Effects of Viviscal Oral Supplements When Used by Females With Self-perceived Thinning Hair,Dietary Supplement,United States,April 2011,November 2011,United States
343,344,NCT02827916,Peripheric Neuropathy|Chemo-induced Neuropathy,Exploration of Neuropathic Pain Induced by Oxaliplatin Electrophysiological Approach,Device,France,"April 4, 2016","June 30, 2017",France
344,345,NCT04358250,Total Hip Arthroplasty|Hip Arthrosis,Tissue Sparing Surgery in Total Hip Arthroplasty,Procedure,Italy|Italy,"April 26, 2017","November 30, 2018",Italy
345,346,NCT01676129,Temporomandibular Joint Disorders,Nocipoint Therapy Versus Standard Physical Therapy Using Electrical Stimulation in Treating Pain From TMJ Disorder,Procedure,Taiwan,July 2012,March 2013,Taiwan
346,347,NCT02739555,Osteoid Osteoma,Zoledronic Acid Compared to Percutaneous Treatment in Osteoid Osteoma,Device,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France,"June 23, 2016","May 24, 2023",France
347,348,NCT02627846,Varicose Veins,Laser Ablation Versus Mechanochemical Ablation Trial,Device,United Kingdom,"June 1, 2015",August 2025,United Kingdom
348,349,NCT04369716,Glycemic Response,"The Impact of Fruit Juice, Fruit Juice With Pomace, or Whole Fruit on Glycemic Response",Other,United States,"October 9, 2017","December 23, 2017",United States
349,350,NCT00623948,Pressure Ulcers,Implanted Gluteal Stimulation System for Pressure Sore Prevention,Device,United States,September 2012,August 2014,United States
350,351,NCT03377829,Thyroid Cancer|Treatment Related Cancer,A Multicenter Trial of PLA vs. Surgery for Treating PTMC,Procedure,China|China|China|China|China|China|China|China|China|China|China|Italy|Italy,"December 1, 2017","December 31, 2022",China
351,352,NCT02945553,Anterior Cruciate Ligament Reconstruction,Prevention of Skeletal Muscle Adaptations to Traumatic Knee Injury and Surgery,Device,United States,October 2016,September 2019,United States
352,353,NCT01578148,Shoulder Pain|Neck Pain,Noxipoint Therapy Versus Standard Physical Therapy Using Electrical Stimulation for Chronic Pain,Procedure,United States,April 2012,February 2013,United States
353,354,NCT03605576,Chronic Neck Pain|Sleep Quality,Remote Fu's Subcutaneous Needling for Patients With Chronic Neck Pain,Procedure,Taiwan,"May 1, 2018","April 12, 2019",Taiwan
354,355,NCT03605563,Lateral Epicondylitis,Fu's Subcutaneous Needling on the Myofascial Trigger Points: Lateral Epicondylitis,Procedure,Taiwan,"May 1, 2018","April 28, 2019",Taiwan
355,356,NCT04364438,Overactive Bladder,Effectiveness of EMS and TENS in Patients With Overactive Bladder,Device,Pakistan,"March 3, 2020",September 2021,Pakistan
356,357,NCT01831180,Healthy,A Comparison of Scalp Blood Flow and Hair Shaft In Premenopausal Women Versus Postmenopausal Women,,United States,September 2013,April 2014,United States
357,358,NCT05043636,Diabetic Neuropathies|Distal Peripheral Sensory Neuropathy|Diabetic Foot|Foot Deformities|Autonomic Neuropathy|CAN,Diabetic Neuropathy Screening Study 1.1 + Substudy 1.2-1.3-1.4,Device,Denmark,"September 1, 2019","December 31, 2022",Denmark
358,359,NCT04139876,Hemorrhoids,Ligasure Hemorrhoidectomy Versus Open Hemorrhoidectomy,Procedure,Denmark,"March 1, 2017","December 1, 2022",Denmark
359,360,NCT01950234,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis|Progressive Relapsing Multiple Sclerosis,ACTH in Progressive Forms of MS,Drug,United States|United States|United States,October 2013,December 2022,United States
360,361,NCT02949076,Nonsmall Cell Lung Cancer,Skeletal Muscle Atrophy and Dysfunction in Human Cancer,Behavioral,United States,July 2016,June 2021,United States
361,362,NCT05048862,Neuromuscular Diseases,The Neuroimage Study of the Neuromuscular Disorders.,Diagnostic Test,Taiwan,"August 1, 2021","August 1, 2031",Taiwan
362,363,NCT00188591,Breast Cancer,Light Based Analysis of Developing Breast Tissue in Adolescent Girls: a Feasibility Study,,Canada,April 2005,November 2008,Canada
363,364,NCT03080220,Functional Performance,Examining the Effects of Three Soft Tissue Treatments on Functional Movement and Functional Performance Enhancement,Device,United States|United States|United States,"September 1, 2016","September 30, 2016",United States
364,365,NCT03051984,Knee Osteoarthritis,Skeletal Muscle Atrophy and Dysfunction Following Total Knee Arthroplasty,Device,United States,"January 1, 2017","June 30, 2021",United States
365,366,NCT02582580,Pregnancy,Effects of Antenatal Pelvic Floor Preparation Techniques for Childbirth,Other,Brazil,"October 15, 2015","August 30, 2017",Brazil
366,367,NCT04886778,Obesity,Efficacy and Safety of Low-Carbohydrate Diet Combined With Probiotics for Weight Loss in Male Obese Patients.,Dietary Supplement,,"June 1, 2021","March 1, 2022",
367,368,NCT03370848,Flushing|Hyperlipidemias|Dyslipidemias,Effects of Psyllium on Niacin Tolerability,Dietary Supplement,United States,March 2009,July 2011,United States
368,369,NCT02505971,Infantile Hemangioma,Nadolol Versus Propranolol in Children With Infantile Hemangiomas,Drug,Canada,September 2015,"June 30, 2020",Canada
369,370,NCT04228692,Endometriosis|Dysuria,Percutaneous Posterior Tibial Nerve Stimulation in Post-operative Voiding Dysfunction After Deep Endometriosis Surgery,Procedure,France,"March 11, 2020",June 2022,France
370,371,NCT00811577,Scar Prevention|Scar Reduction,A Phase 2a Study to Evaluate the Safety and Efficacy of AZX100 in Trocar Sites of Arthroscopic Shoulder Surgery Patients,Drug,United States|United States|United States|United States|United States,January 2009,December 2010,United States
371,372,NCT02107157,Facial Rejuvenation,Clinical and Histological Evaluation of the Picosure 755nm Laser With Cap Array for Facial Rejuvenation,Device,United States,July 2013,June 2015,United States
372,373,NCT01668602,Cerebrovascular Accident,Stroke Gait Rehabilitation Using Functional Electrical Stimulation,Device,United States,August 2013,"May 1, 2019",United States
373,374,NCT02554422,"Disorder of Middle Ear|Otosclerosis of Middle Ear|Cholesteatoma, Middle Ear",Objective Measurement of Ossicular Chain Mobility Using a Palpating Instrument Intraoperatively,Device,,December 2013,August 2015,
374,375,NCT04472923,Fecal Incontinence in Children,Biofeedback Training Fecal Incontinence in Children,Procedure,Egypt,"May 5, 2018","July 5, 2020",Egypt
375,376,NCT04217434,"Pain, Postoperative|Healing Surgical Wounds|Analgesia|Temperature Change, Body",Comparative Evaluation of Various Patient Centered Outcomes Following Gingival Depigmentation Using Diode LASER in Different Modes: A Randomized Clinical Trial,Procedure,India,"November 20, 2018","November 22, 2020",India
376,377,NCT03958747,Gastrointestinal Cancer|Colorectal Cancer,Ultrasound for the Detection of Oxaliplatin-Induced Peripheral Neuropathy,Diagnostic Test,United States,"December 17, 2019",December 2021,United States
377,378,NCT04680806,Hyperpigmentation; Melanin|Laser-Induced Hyperpigmentation,Laser-Assisted Gingival Depigmentation,Device,Qatar,"April 5, 2015","October 20, 2019",Qatar
378,379,NCT03572959,Oral Lichen Planus,Management of Pain in Oral Lichen Planus,Drug,,"December 27, 2016","May 22, 2017",
379,380,NCT04021303,Gastrointestinal Disorder|Immunologic Diseases in Children,"Whole Grain, Gluten-containing Cereal and PROBIOtics to Evaluate Digestive TOLERAance and Immuno-inflammatory Response",Dietary Supplement,Spain,"September 1, 2019",June 2021,Spain
